baseline-timestamp,baseline-diameter_eye_0,baseline-diameter_eye_1,baseline-diameter_binocular,baseline-HR,baseline-RR,Nback_HL-timestamp,Nback_HL-diameter_eye_0,Nback_HL-diameter_eye_1,Nback_HL-diameter_binocular,Nback_HL-HR,Nback_HL-RR,Nback_LL-timestamp,Nback_LL-diameter_eye_0,Nback_LL-diameter_eye_1,Nback_LL-diameter_binocular,Nback_LL-HR,Nback_LL-RR,Nback_ML-timestamp,Nback_ML-diameter_eye_0,Nback_ML-diameter_eye_1,Nback_ML-diameter_binocular,Nback_ML-HR,Nback_ML-RR,VIS_HL-timestamp,VIS_HL-diameter_eye_0,VIS_HL-diameter_eye_1,VIS_HL-diameter_binocular,VIS_HL-HR,VIS_HL-RR,VIS_LL-timestamp,VIS_LL-diameter_eye_0,VIS_LL-diameter_eye_1,VIS_LL-diameter_binocular,VIS_LL-HR,VIS_LL-RR,VIS_ML-timestamp,VIS_ML-diameter_eye_0,VIS_ML-diameter_eye_1,VIS_ML-diameter_binocular,VIS_ML-HR,VIS_ML-RR
,,,,,,60.89,3.144583485512032,3.850032975160632,3.4973082303363316,,,50.6,,2.4010080834925143,2.4010080834925143,,,71.29,,3.3859627455314665,3.3859627455314665,,,39.55,3.041825023612334,2.210158463809241,2.6259917437107876,,,42.24,,2.5996657672597854,2.5996657672597854,,,45.36,2.4178148497590213,2.2047956382581217,2.3113052440085715,,
,,,,,,60.9,,3.667772159905051,3.667772159905051,,,50.6,,2.3710991310860177,2.3710991310860177,,,71.3,,3.3399489359374916,3.3399489359374916,,,39.56,3.054878769210822,2.168021572510052,2.611450170860437,,,42.25,,2.6080821734299247,2.6080821734299247,,,45.37,2.4087318850333252,2.2831068030444297,2.3459193440388777,,
,,,,,,60.91,3.156814440184508,3.687327175362984,3.4220708077737463,,,50.61,,2.4120855202048173,2.4120855202048173,,,71.31,,3.4453846115172277,3.4453846115172277,,,39.57,3.0584915350780357,2.237013384199161,2.6477524596385984,,,42.26,,2.5868965763665317,2.5868965763665317,,,45.38,2.388367793301514,2.2893816278981194,2.338874710599817,,
,,,,,,60.92,,3.6255477611844915,3.6255477611844915,,,50.62,,2.404031718963982,2.404031718963982,,,71.32,,3.3558314058934875,3.3558314058934875,,,39.58,3.0520490066853037,2.2536756590362863,2.6528623328607948,,,42.27,,2.676535253869252,2.676535253869252,,,45.38,2.4291052546180287,2.2893816278981194,2.359243441258074,,
,,,,,,60.94,,3.631565417816207,3.631565417816207,,,50.63,,2.4374853831117647,2.4374853831117647,,,71.32,,3.3736370334398345,3.3736370334398345,,,39.58,3.03179554644137,2.2536756590362863,2.6427356027388282,,,42.28,,2.5276670560133057,2.5276670560133057,,,45.39,2.4143262301694026,2.289477176644727,2.351901703407065,,
,,,,,,60.95,,3.6646272818293566,3.6646272818293566,,,50.64,,2.414943372310632,2.414943372310632,,,71.33,,3.39005966643897,3.39005966643897,,,39.59,3.0801337724489604,2.2532686263107893,2.666701199379875,,,42.28,,2.5992954516977402,2.5992954516977402,,,45.4,2.3785429371285542,2.2133635792256667,2.2959532581771107,,
,,,,,,60.96,,3.6583563677521007,3.6583563677521007,,,50.64,,2.4375731324744967,2.4375731324744967,,,71.34,,3.203277719163021,3.203277719163021,,,39.6,3.056296472717316,2.1857869667342062,2.621041719725761,,,42.29,,2.611403411438954,2.611403411438954,,,45.4,2.3785429371285542,2.293286361329312,2.335914649228933,,
,,,,,,60.96,,3.631276110407321,3.631276110407321,,,50.65,,2.3847842350768285,2.3847842350768285,,,71.52,,3.450811567579548,3.450811567579548,,,39.6,3.056296472717316,2.242051800043054,2.649174136380185,,,42.3,,2.626190415664972,2.626190415664972,,,45.41,2.421294932340059,2.238351354924168,2.3298231436321135,,
,,,,,,60.98,,3.576203591104985,3.576203591104985,,,50.66,,2.4461685602614733,2.4461685602614733,,,71.54,,3.344806715495814,3.344806715495814,,,39.61,3.0698805070136848,2.27489779221376,2.672389149613722,,,42.31,,2.520973236133497,2.520973236133497,,,45.42,2.3793776969320564,2.2546573914880925,2.317017544210074,,
,,,,,,60.99,,3.5810538948339485,3.5810538948339485,,,50.67,,2.420394186356414,2.420394186356414,,,71.55,,3.4874951395273595,3.4874951395273595,,,39.62,3.006243947754756,2.2747220194345705,2.640482983594663,,,42.32,,2.554242159803433,2.554242159803433,,,45.42,2.3904121553692383,2.2546573914880925,2.322534773428665,,
